No;Time;DC/AC;Value;Unit;Auto
339;17:45:08;DC;7.064;mA;AUTO
340;17:45:09;DC;6.775;mA;AUTO
341;17:45:10;DC;6.775;mA;AUTO
342;17:45:10;DC;6.775;mA;AUTO
343;17:45:11;DC;6.775;mA;AUTO
344;17:45:12;DC;7.064;mA;AUTO
345;17:45:12;DC;7.064;mA;AUTO
346;17:45:13;DC;6.777;mA;AUTO
347;17:45:14;DC;6.775;mA;AUTO
348;17:45:14;DC;6.775;mA;AUTO
349;17:45:15;DC;6.881;mA;AUTO
350;17:45:16;DC;7.064;mA;AUTO
351;17:45:16;DC;7.064;mA;AUTO
352;17:45:17;DC;6.777;mA;AUTO
353;17:45:18;DC;6.777;mA;AUTO
354;17:45:18;DC;6.775;mA;AUTO
355;17:45:19;DC;7.058;mA;AUTO
356;17:45:20;DC;7.06;mA;AUTO
357;17:45:20;DC;7.061;mA;AUTO
358;17:45:21;DC;6.775;mA;AUTO
359;17:45:22;DC;6.774;mA;AUTO
360;17:45:22;DC;6.773;mA;AUTO
361;17:45:23;DC;7.058;mA;AUTO
362;17:45:24;DC;7.06;mA;AUTO
363;17:45:24;DC;7.058;mA;AUTO
364;17:45:25;DC;6.775;mA;AUTO
365;17:45:26;DC;6.775;mA;AUTO
366;17:45:26;DC;6.774;mA;AUTO
367;17:45:27;DC;7.058;mA;AUTO
368;17:45:28;DC;7.06;mA;AUTO
369;17:45:28;DC;7.062;mA;AUTO
370;17:45:29;DC;6.775;mA;AUTO
371;17:45:30;DC;6.775;mA;AUTO
372;17:45:30;DC;6.774;mA;AUTO
373;17:45:31;DC;7.06;mA;AUTO
374;17:45:32;DC;7.061;mA;AUTO
375;17:45:32;DC;7.062;mA;AUTO
376;17:45:33;DC;6.775;mA;AUTO
377;17:45:34;DC;6.775;mA;AUTO
378;17:45:34;DC;6.774;mA;AUTO
379;17:45:35;DC;6.952;mA;AUTO
380;17:45:36;DC;7.064;mA;AUTO
381;17:45:36;DC;7.064;mA;AUTO
382;17:45:37;DC;6.775;mA;AUTO
383;17:45:37;DC;6.774;mA;AUTO
384;17:45:38;DC;6.773;mA;AUTO
385;17:45:39;DC;7.058;mA;AUTO
386;17:45:39;DC;7.06;mA;AUTO
387;17:45:40;DC;7.044;mA;AUTO
388;17:45:41;DC;6.775;mA;AUTO
389;17:45:41;DC;6.775;mA;AUTO
390;17:45:42;DC;6.774;mA;AUTO
391;17:45:43;DC;7.062;mA;AUTO
392;17:45:43;DC;7.063;mA;AUTO
393;17:45:44;DC;49.32;mA;AUTO
394;17:45:45;DC;49.34;mA;AUTO
395;17:45:45;DC;49.36;mA;AUTO
396;17:45:46;DC;49.38;mA;AUTO
397;17:45:47;DC;49.4;mA;AUTO
398;17:45:47;DC;49.41;mA;AUTO
399;17:45:48;DC;49.33;mA;AUTO
400;17:45:49;DC;49.29;mA;AUTO
401;17:45:49;DC;7.06;mA;AUTO
402;17:45:50;DC;7.06;mA;AUTO
403;17:45:51;DC;7.061;mA;AUTO
404;17:45:51;DC;6.775;mA;AUTO
405;17:45:52;DC;6.774;mA;AUTO
406;17:45:53;DC;6.773;mA;AUTO
407;17:45:53;DC;6.773;mA;AUTO
408;17:45:54;DC;7.062;mA;AUTO
409;17:45:55;DC;7.063;mA;AUTO
410;17:45:55;DC;6.779;mA;AUTO
411;17:45:56;DC;6.777;mA;AUTO
412;17:45:57;DC;6.776;mA;AUTO
413;17:45:57;DC;6.775;mA;AUTO
414;17:45:58;DC;7.06;mA;AUTO
415;17:45:59;DC;7.062;mA;AUTO
416;17:45:59;DC;7.063;mA;AUTO
417;17:46:00;DC;6.773;mA;AUTO
418;17:46:01;DC;6.773;mA;AUTO
419;17:46:01;DC;6.773;mA;AUTO
420;17:46:02;DC;7.058;mA;AUTO
421;17:46:03;DC;7.06;mA;AUTO
422;17:46:03;DC;7.061;mA;AUTO
423;17:46:04;DC;6.775;mA;AUTO
424;17:46:05;DC;6.775;mA;AUTO
425;17:46:05;DC;6.774;mA;AUTO
426;17:46:06;DC;7.058;mA;AUTO
427;17:46:07;DC;7.06;mA;AUTO
428;17:46:07;DC;7.061;mA;AUTO
429;17:46:08;DC;6.777;mA;AUTO
430;17:46:09;DC;6.775;mA;AUTO
431;17:46:09;DC;6.774;mA;AUTO
432;17:46:10;DC;7.06;mA;AUTO
433;17:46:10;DC;7.061;mA;AUTO
434;17:46:11;DC;7.057;mA;AUTO
435;17:46:12;DC;6.775;mA;AUTO
436;17:46:12;DC;6.775;mA;AUTO
437;17:46:14;DC;6.905;mA;AUTO
438;17:46:14;DC;7.062;mA;AUTO
439;17:46:15;DC;7.063;mA;AUTO
440;17:46:16;DC;6.777;mA;AUTO
441;17:46:16;DC;6.776;mA;AUTO
442;17:46:17;DC;6.775;mA;AUTO
443;17:46:18;DC;6.801;mA;AUTO
444;17:46:18;DC;7.064;mA;AUTO
445;17:46:19;DC;7.064;mA;AUTO
446;17:46:20;DC;6.777;mA;AUTO
447;17:46:20;DC;6.776;mA;AUTO
448;17:46:21;DC;6.775;mA;AUTO
449;17:46:22;DC;6.962;mA;AUTO
450;17:46:22;DC;7.068;mA;AUTO
451;17:46:23;DC;7.067;mA;AUTO
452;17:46:24;DC;6.775;mA;AUTO
453;17:46:24;DC;6.775;mA;AUTO
454;17:46:25;DC;6.774;mA;AUTO
455;17:46:26;DC;6.986;mA;AUTO
456;17:46:26;DC;7.012;mA;AUTO
